timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-3.628151261
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-3.623063683
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-3.376923077
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-3.353179973
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,-3.255033557
3,C10,19,3_23,DI72,TBSV,31.385,18.755,12.63,-3
1,G06,14,8_10,DI73,TBSV_DI73,26.575,17.785,8.79,-2.87254902
1,A06,4,8_1,DI73,TBSV_DI73,27.135,17.99,9.145,-2.853354134
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,-2.718913271
3,G03,34,8_10,DI73,TBSV_DI73,39.62,24.14,15.48,-2.650684932
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6,-2.65060241
2,G06,40,8_10,DI73,TBSV_DI73,30.39,17.99,12.4,-2.572614108
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-2.568783069
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97,-2.356973995
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63,-2.331140351
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325,-2.259299781
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03,-2.257746479
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5,-2.251184834
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595,-2.173383318
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-2.139976275
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605,-2.016159696
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14,-1.936962751
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-1.903225806
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-1.85634119
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-1.773529412
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-1.743652744
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-1.731343284
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-1.64940239
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195,-1.639
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-1.626865672
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-1.453333333
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-1.405228758
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41,-1.274566474
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56,-1.274531422
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99,-1.201807229
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875,-1.194852941
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615,-1.185245902
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835,-1.136272545
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-0.983561644
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02,-0.924137931
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-0.89923558
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-0.886317907
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43,-0.788505747
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-0.75625
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095,-0.737871108
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41,-0.725903614
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-0.635824437
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865,-0.621613106
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755,-0.594488189
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755,-0.589915966
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,-0.588235294
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-0.552957359
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175,-0.480572597
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-0.427896996
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19,-0.418338109
1,C11,11,8_1,DI72,TBSV_DI72,17.365,16.89,0.475,-0.368217054
2,A08,32,8_1,DI72,TBSV,17.88,17.15,0.73,-0.320879121
2,A07,10,3_23,DI72,TBSV,17.43,16.73,0.7,-0.313901345
3,E08,35,8_10,DI72,TBSV_DI72,18.44,20.085,-1.645,-0.22006689
2,C08,48,8_1,DI72,TBSV,17.23,16.75,0.48,-0.186407767
1,A02,35,8_1,DI72,TBSV_DI73,9.97,11.01,-1.04,-0.183259912
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-0.174778761
3,C08,31,8_1,DI72,TBSV,19.125,18.415,0.71,-0.153017241
1,C05,26,8_1,DI72,TBSV,19.81,19.195,0.615,-0.100737101
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05,-0.034602076
1,A10,33,4_9,DI72,TBSV,13.335,13.26,0.075,0.02617801
1,E02,28,3_23,DI72,TBSV_DI72,20.505,20.715,-0.21,0.032357473
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005,0.037037037
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195,0.060842434
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4,0.07497657
2,C10,3,3_23,DI72,TBSV,17.1005,17.775,-0.6745,0.118959436
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095,0.153225806
3,G05,29,8_1,DI72,TBSV_DI73,17.23,17.625,-0.395,0.174778761
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06,0.214285714
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,0.218045113
1,C05,50,8_10,DI72,TBSV,13.605,12.41,1.195,0.218664227
2,C02,53,8_10,DI72,TBSV,29.47,30.38,-0.91,0.223312883
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05,0.235690236
3,C08,6,4_9,DI72,TBSV_DI73,19.365,20.935,-1.57,0.246467818
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,0.250868659
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79,0.282103134
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26,0.333333333
3,A11,40,8_1,DI72,TBSV,18.135,16.305,1.83,0.340465116
1,G08,16,8_1,DI72,TBSV_DI73,17.865,18.91,-1.045,0.409001957
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,0.419732441
2,C05,42,8_10,DI72,TBSV,27.73,29.87,-2.14,0.432760364
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21,0.432989691
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,0.434056007
3,C06,23,8_10,DI73,TBSV,31.655,35.44,-3.785,0.457678356
2,C05,34,8_1,DI72,TBSV_DI73,15.155,17.305,-2.15,0.470459519
3,G02,4,3_23,DI72,TBSV_DI72,15.925,15.815,0.11,0.5
1,A07,30,3_23,DI72,TBSV,18.15,13.155,4.995,0.552544248
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,0.57195572
2,E05,24,3_23,DI72,TBSV_DI72,14.77,16.19,-1.42,0.58677686
1,E11,10,8_1,DI72,TBSV_DI72,17.515,18.335,-0.82,0.592057762
