timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct
2,C06,17,4_9,TBSV,TBSV,14.435,19.405,-4.97,-3.28902,9.774480316,0.990093676
2,C09,29,4_9,TBSV,TBSV,14.69,15.52,-0.83,0.85098,0.554408007,-0.256170506
2,A07,10,8_10,TBSV,TBSV,14.765,17.665,-2.9,-1.21902,2.32788534,0.366961585
2,C04,36,8_1,TBSV,TBSV,14.905,17.485,-2.58,-0.89902,1.864798824,0.270631987
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67,-3.98902,15.87869012,1.200814673
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23,-0.54902,1.463091503,0.165271488
2,A06,25,4_9,TBSV,TBSV,15.81,18.19,-2.38,-0.69902,1.623401667,0.210425988
2,C07,48,8_1,TBSV,TBSV,15.965,18.54,-2.575,-0.89402,1.85834711,0.269126837
2,A10,26,8_10,TBSV,TBSV,18.195,15.22,2.975,4.65598,0.039665265,-1.401589639
2,C01,19,8_1,TBSV,TBSV,19.15,15.37,3.78,5.46098,0.022702894,-1.643918786
2,A12,8,4_9,TBSV,TBSV,19.795,15.21,4.585,6.26598,0.012994275,-1.886247932
2,A09,16,4_9,TBSV,TBSV,20.74,16.11,4.63,6.31098,0.012595219,-1.899794282
2,G01,23,3_23,TBSV,TBSV_DI72,13.53,15.875,-2.345,-0.66402,1.584491587,0.199889938
2,E04,24,3_23,TBSV,TBSV_DI72,14.25,16.67,-2.42,-0.73902,1.6690417,0.222467187
2,E01,39,8_10,TBSV,TBSV_DI72,14.315,19.65,-5.335,-3.65402,12.58837364,1.099969625
2,E07,44,8_10,TBSV,TBSV_DI72,14.61,18.07,-3.46,-1.77902,3.431929698,0.535538383
2,C10,52,8_10,TBSV,TBSV_DI72,14.68,16.25,-1.57,0.11098,0.925958859,-0.033408309
2,E07,38,8_1,TBSV,TBSV_DI72,14.7,14.65,0.05,1.73098,0.301247255,-0.521076902
2,G08,33,3_23,TBSV,TBSV_DI72,15.23,15.095,0.135,1.81598,0.284011253,-0.546664452
2,E04,49,8_10,TBSV,TBSV_DI72,15.29,18.34,-3.05,-1.36902,2.582950508,0.412116085
2,G05,21,3_23,TBSV,TBSV_DI72,15.34,19.165,-3.825,-2.14402,4.419919212,0.645414331
2,E01,7,8_1,TBSV,TBSV_DI72,16.535,16.05,0.485,2.16598,0.222830713,-0.65202495
2,E10,41,8_1,TBSV,TBSV_DI72,16.865,16.635,0.23,1.91098,0.265911855,-0.575262301
2,E01,11,3_23,TBSV,TBSV_DI72,17.42,16.62,0.8,2.48098,0.179122689,-0.746849399
