timepoint,well,plant,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
3,H09,16,DI73,TBSV_DI73,26.54,17.04,9.5,-2.251184834,agro
2,E03,39,DI73,TBSV_DI72,29.67,18.075,11.595,-2.173383318,agro
1,C09,43,DI73,TBSV,26.925,17.905,9.02,-2.139976275,agro
3,E06,15,DI73,TBSV_DI72,34.825,24.22,10.605,-2.016159696,agro
2,C02,8,DI72,TBSV_DI73,29.11,18.97,10.14,-1.936962751,agro
1,E05,13,DI72,TBSV_DI72,16.265,16.855,-0.59,-1.903225806,agro
1,A12,14,DI73,TBSV,27.26,18.99,8.27,-1.85634119,agro
1,C02,18,DI72,TBSV,16.1005,13.99,2.1105,-1.773529412,agro
1,C06,26,DI73,TBSV,30.515,19.87,10.645,-1.743652744,agro
1,A11,3,DI72,TBSV_DI73,17.5,15.76,1.74,-1.731343284,agro
1,G03,30,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-1.64940239,agro
2,C08,19,DI72,TBSV,29.4,21.205,8.195,-1.639,agro
2,G02,23,DI72,TBSV_DI72,19.485,15.67,3.815,-1.626865672,agro
1,C08,22,DI72,TBSV,17.21,16.665,0.545,-1.453333333,agro
1,G05,14,DI72,TBSV_DI73,22.875,18.575,4.3,-1.405228758,agro
2,E08,44,DI72,TBSV_DI72,16.535,12.125,4.41,-1.274566474,agro
3,C03,32,DI73,TBSV,35.825,24.265,11.56,-1.274531422,agro
2,G03,25,DI73,TBSV_DI73,20.25,16.26,3.99,-1.201807229,agro
2,C02,24,DI72,TBSV_DI73,21.11,16.235,4.875,-1.194852941,agro
2,E05,49,DI72,TBSV_DI72,16.185,12.57,3.615,-1.185245902,agro
2,C06,48,DI73,TBSV_DI73,18.825,15.99,2.835,-1.136272545,agro
1,A08,51,DI72,TBSV,16.525,14.73,1.795,-0.983561644,agro
3,H03,25,DI73,TBSV_DI73,20.31,16.29,4.02,-0.924137931,agro
1,A09,38,DI73,TBSV_DI73,25.38,18.91,6.47,-0.89923558,agro
2,C07,17,DI72,TBSV,22.375,17.97,4.405,-0.886317907,agro
3,H02,25,DI72,TBSV_DI73,22.25,18.82,3.43,-0.788505747,agro
2,E02,11,DI72,TBSV_DI72,16.27,16.875,-0.605,-0.75625,agro
3,C11,1,DI72,TBSV_DI73,28.365,23.27,5.095,-0.737871108,agro
2,G02,25,DI72,TBSV_DI73,22.08,19.67,2.41,-0.725903614,agro
1,C08,43,DI72,TBSV,17.4,14.72,2.68,-0.635824437,agro
3,C08,33,DI72,TBSV_DI73,27.375,17.51,9.865,-0.621613106,agro
2,C11,17,DI72,TBSV_DI72,16.335,17.09,-0.755,-0.594488189,agro
2,A11,26,DI72,TBSV,15.535,17.29,-1.755,-0.589915966,agro
2,G06,21,DI72,TBSV_DI72,19.72,17.47,2.25,-0.588235294,agro
2,A10,2,DI72,TBSV,20.52,18.51,2.01,-0.552957359,agro
3,C07,20,DI72,TBSV,19.27,18.095,1.175,-0.480572597,agro
3,E11,18,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-0.427896996,agro
2,C03,8,DI73,TBSV_DI73,19.285,17.095,2.19,-0.418338109,agro
1,C11,11,DI72,TBSV_DI72,17.365,16.89,0.475,-0.368217054,agro
2,A08,32,DI72,TBSV,17.88,17.15,0.73,-0.320879121,agro
2,A07,10,DI72,TBSV,17.43,16.73,0.7,-0.313901345,agro
3,E08,35,DI72,TBSV_DI72,18.44,20.085,-1.645,-0.22006689,agro
2,C08,48,DI72,TBSV,17.23,16.75,0.48,-0.186407767,agro
1,A02,35,DI72,TBSV_DI73,9.97,11.01,-1.04,-0.183259912,agro
1,G09,2,DI73,TBSV_DI73,18.265,17.475,0.79,-0.174778761,agro
3,C08,31,DI72,TBSV,19.125,18.415,0.71,-0.153017241,agro
1,C05,26,DI72,TBSV,19.81,19.195,0.615,-0.100737101,agro
2,G02,20,DI72,TBSV_DI73,16.255,16.205,0.05,-0.034602076,agro
1,A10,33,DI72,TBSV,13.335,13.26,0.075,0.02617801,agro
1,E02,28,DI72,TBSV_DI72,20.505,20.715,-0.21,0.032357473,agro
2,G09,33,DI72,TBSV_DI72,16.37,16.365,0.005,0.037037037,agro
1,A05,4,DI72,TBSV_DI73,16.14,16.335,-0.195,0.060842434,agro
2,E02,39,DI72,TBSV_DI72,16.015,16.415,-0.4,0.07497657,agro
2,C10,3,DI72,TBSV,17.1005,17.775,-0.6745,0.118959436,agro
3,E02,27,DI72,TBSV_DI73,16.76,16.665,0.095,0.153225806,agro
3,G05,29,DI72,TBSV_DI73,17.23,17.625,-0.395,0.174778761,agro
3,E05,19,DI72,TBSV_DI72,16.58,16.64,-0.06,0.214285714,agro
1,E08,17,DI72,TBSV_DI72,17.565,18,-0.435,0.218045113,agro
1,C05,50,DI72,TBSV,13.605,12.41,1.195,0.218664227,agro
2,C02,53,DI72,TBSV,29.47,30.38,-0.91,0.223312883,agro
1,A11,14,DI72,TBSV,16.005,17.055,-1.05,0.235690236,agro
3,C08,6,DI72,TBSV_DI73,19.365,20.935,-1.57,0.246467818,agro
1,A08,38,DI72,TBSV_DI73,17.205,19.01,-1.805,0.250868659,agro
2,E11,31,DI72,TBSV_DI72,16.78,13.99,2.79,0.282103134,agro
2,C02,19,DI72,TBSV,16.23,14.97,1.26,0.333333333,agro
3,A11,40,DI72,TBSV,18.135,16.305,1.83,0.340465116,agro
1,G08,16,DI72,TBSV_DI73,17.865,18.91,-1.045,0.409001957,agro
1,A08,8,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333,0.419732441,agro
2,C05,42,DI72,TBSV,27.73,29.87,-2.14,0.432760364,agro
2,E02,7,DI72,TBSV_DI72,15.84,15.63,0.21,0.432989691,agro
1,E11,27,DI72,TBSV_DI72,17.64,12.835,4.805,0.434056007,agro
3,C06,23,DI73,TBSV,31.655,35.44,-3.785,0.457678356,agro
2,C05,34,DI72,TBSV_DI73,15.155,17.305,-2.15,0.470459519,agro
3,G02,4,DI72,TBSV_DI72,15.925,15.815,0.11,0.5,agro
1,A07,30,DI72,TBSV,18.15,13.155,4.995,0.552544248,agro
1,E02,47,DI72,TBSV_DI72,17.9,16.35,1.55,0.57195572,agro
2,E05,24,DI72,TBSV_DI72,14.77,16.19,-1.42,0.58677686,agro
1,E11,10,DI72,TBSV_DI72,17.515,18.335,-0.82,0.592057762,agro
3,A11,46,DI72,TBSV,30.325,33.31,-2.985,0.594621514,agro
1,G02,25,DI72,TBSV_DI72,15.025,13.93,1.095,0.613445378,agro
1,C10,27,DI72,TBSV,15.5,16.92,-1.42,0.625550661,agro
2,G05,40,DI72,TBSV_DI73,16.97,20.1,-3.13,0.649377593,agro
2,C05,36,DI72,TBSV,15.485,17.165,-1.68,0.651162791,agro
3,E11,45,DI72,TBSV_DI72,18.71,17.665,1.045,0.672025723,agro
2,A10,16,DI72,TBSV,17.41,14.23,3.18,0.686825054,agro
3,G08,2,DI72,TBSV_DI73,16.85,17.68,-0.83,0.734513274,agro
2,C12,8,DI72,TBSV,17.005,13.115,3.89,0.848418757,agro
3,C02,9,DI72,TBSV,18.31,13.64,4.67,0.857667585,agro
3,E05,15,DI72,TBSV_DI72,18.27,22.91,-4.64,0.882129278,agro
3,E02,33,DI72,TBSV_DI72,17.33,14.735,2.595,0.931777379,agro
2,G08,16,DI72,TBSV_DI73,15.71,19.94,-4.23,1,agro
2,E05,23,DI72,TBSV_DI72,16.24,14.06,2.18,1.055690073,agro
3,H08,16,DI72,TBSV_DI73,15.62,20.11,-4.49,1.063981043,agro
3,G09,17,DI72,TBSV_DI72,17.05,13.485,3.565,1.086890244,agro
1,E02,5,DI72,TBSV_DI72,16.11,15.67,0.44,1.189189189,agro
3,G06,7,DI72,TBSV_DI72,16.015,18.03,-2.015,1.21021021,agro
3,E08,22,DI72,TBSV_DI72,18.775,13.615,5.16,1.296482412,agro
3,H05,40,DI72,TBSV_DI73,16.46,21.16,-4.7,1.316526611,agro
3,E02,18,DI72,TBSV_DI72,16.615,13.055,3.56,1.47107438,agro
1,E08,39,DI72,TBSV_DI72,14.675,11.815,2.86,1.505263158,agro
3,A11,10,DI72,TBSV_DI73,20.005,16.095,3.91,1.844339623,agro
1,G02,30,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333,2.041832669,agro
3,G03,28,DI72,TBSV,23.095,12.69,10.405,2.276805252,agro
1,A09,8,DI73,TBSV_DI73,25.59333333,36.46,-10.86666667,2.725752509,agro
1,A03,35,DI73,TBSV_DI73,24.11,8.26,15.85,2.792951542,agro
1,G06,26,DI72,TBSV_DI73,14.71,13.375,1.335,2.810526316,agro
3,G05,29,DI72,TBSV_DI73,27.22,40.1,-12.88,2.830769231,agro
2,C11,52,DI72,TBSV_DI72,16.33,21.535,-5.205,3.315286624,agro
1,C06,50,DI73,TBSV,29.365,11.065,18.3,3.348581885,agro
2,G08,37,DI72,TBSV_DI73,19.1005,25.17,-6.0695,3.52877907,agro
3,C05,21,DI72,TBSV,16.325,17.29,-0.965,4.948717949,agro
1,A11,33,DI73,TBSV,29.08,13.195,15.885,5.544502618,agro
1,E03,47,DI73,TBSV_DI72,31.035,14.92,16.115,5.946494465,agro
2,A12,26,DI73,TBSV,38.78,10.695,28.085,9.440336134,agro
2,E11,41,DI72,TBSV_DI72,16.1,13.705,2.395,10.41304348,agro
1,E09,39,DI73,TBSV_DI72,32.085,12.1005,19.9845,10.51815789,agro
2,C12,17,DI73,TBSV_DI72,31.57,18.175,13.395,10.54724409,agro
1,G09,9,DI72,TBSV_DI72,23.72,13.955,9.765,13.65734266,agro
3,E03,27,DI73,TBSV_DI73,34.505,19.985,14.52,23.41935484,agro
2,G05,15,DI72,TBSV_DI73,18.79,15.53,3.26,25.07692308,agro
2,E03,7,DI73,TBSV_DI72,30.07,17.11,12.96,26.72164948,agro
1,G07,26,DI73,TBSV_DI73,26.82,12.82,14,29.47368421,agro
1,E03,5,DI73,TBSV_DI72,30.195,17.68,12.515,33.82432432,agro
3,C12,6,DI72,TBSV,30.925,16.21,14.715,35.8902439,agro
1,E06,13,DI73,TBSV_DI72,33.41,17.215,16.195,52.24193548,agro
2,E08,38,DI72,TBSV_DI72,17.34,14.585,2.755,55.1,agro
2,G06,15,DI73,TBSV_DI73,24.365,15.755,8.61,66.23076923,agro
2,E12,41,DI73,TBSV_DI72,35.74,17.255,18.485,80.36956522,agro
