timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct
1,G02,25,3_23,DI72,TBSV_DI72,15.025,13.93,1.095
2,C09,3,3_23,TBSV,TBSV,15.035,20.705,-5.67
3,C06,20,3_23,TBSV,TBSV,15.04,17.485,-2.445
3,C07,31,8_1,TBSV,TBSV,15.07,19.71,-4.64
1,G07,16,8_1,TBSV,TBSV_DI73,15.14,17.695,-2.555
2,C05,34,8_1,DI72,TBSV_DI73,15.155,17.305,-2.15
3,C10,1,8_10,TBSV,TBSV_DI73,15.155,22.06,-6.905
2,G08,33,3_23,TBSV,TBSV_DI72,15.23,15.095,0.135
3,E04,15,8_10,TBSV,TBSV_DI72,15.265,20.525,-5.26
2,E04,49,8_10,TBSV,TBSV_DI72,15.29,18.34,-3.05
2,G04,15,8_1,TBSV,TBSV_DI73,15.305,15.175,0.13
2,G05,21,3_23,TBSV,TBSV_DI72,15.34,19.165,-3.825
1,C07,22,8_10,TBSV,TBSV,15.36,15.735,-0.375
2,C05,36,8_1,DI72,TBSV,15.485,17.165,-1.68
1,C10,27,4_9,DI72,TBSV,15.5,16.92,-1.42
1,A08,8,8_1,DI72,TBSV_DI73,15.50333333,17.17666667,-1.673333333
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755
3,H08,16,8_10,DI72,TBSV_DI73,15.62,20.11,-4.49
2,G08,16,8_10,DI72,TBSV_DI73,15.71,19.94,-4.23
1,A12,2,4_9,TBSV,TBSV,15.715,20.88,-5.165
2,A06,10,3_23,TBSV,TBSV,15.74,17.97,-2.23
1,E01,28,3_23,TBSV,TBSV_DI72,15.775,22.265,-6.49
2,A06,25,4_9,TBSV,TBSV,15.81,18.19,-2.38
2,E02,7,8_1,DI72,TBSV_DI72,15.84,15.63,0.21
1,E10,10,8_1,TBSV,TBSV_DI72,15.855,17.24,-1.385
3,G02,4,3_23,DI72,TBSV_DI72,15.925,15.815,0.11
3,A07,12,8_1,TBSV,TBSV,15.93,18.31,-2.38
1,C04,50,8_10,TBSV,TBSV,15.94,10.475,5.465
1,E01,5,8_1,TBSV,TBSV_DI72,15.955,15.585,0.37
2,C07,48,8_1,TBSV,TBSV,15.965,18.54,-2.575
3,A12,6,3_23,TBSV,TBSV,15.985,15.575,0.41
3,E05,42,8_1,DI72,TBSV_DI72,15.985,15.21,0.775
1,A11,14,8_1,DI72,TBSV,16.005,17.055,-1.05
3,G06,7,3_23,DI72,TBSV_DI72,16.015,18.03,-2.015
2,E02,39,8_10,DI72,TBSV_DI72,16.015,16.415,-0.4
3,E01,18,3_23,TBSV,TBSV_DI72,16.03,13.61,2.42
3,G07,2,8_1,TBSV,TBSV_DI73,16.085,17.215,-1.13
2,E11,41,8_1,DI72,TBSV_DI72,16.1,13.705,2.395
1,E02,5,8_1,DI72,TBSV_DI72,16.11,15.67,0.44
1,E05,32,3_23,DI72,TBSV_DI72,16.135,19.17,-3.035
1,A05,4,8_1,DI72,TBSV_DI73,16.14,16.335,-0.195
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615
2,C02,19,8_1,DI72,TBSV,16.23,14.97,1.26
2,E05,23,8_1,DI72,TBSV_DI72,16.24,14.06,2.18
2,G02,20,8_1,DI72,TBSV_DI73,16.255,16.205,0.05
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605
3,A07,24,8_10,TBSV,TBSV,16.31,17.41,-1.1
3,C05,21,8_1,DI72,TBSV,16.325,17.29,-0.965
1,G02,30,8_1,DI72,TBSV_DI73,16.33,23.16333333,-6.833333333
2,G01,20,8_1,TBSV,TBSV_DI73,16.33,17.775,-1.445
2,C11,52,8_10,DI72,TBSV_DI72,16.33,21.535,-5.205
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755
2,G09,33,3_23,DI72,TBSV_DI72,16.37,16.365,0.005
3,H05,40,8_10,DI72,TBSV_DI73,16.46,21.16,-4.7
1,A09,33,4_9,TBSV,TBSV,16.48,13.615,2.865
3,G01,4,3_23,TBSV,TBSV_DI72,16.49,16.27,0.22
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795
2,E01,7,8_1,TBSV,TBSV_DI72,16.535,16.05,0.485
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41
3,E04,19,3_23,TBSV,TBSV_DI72,16.555,16.835,-0.28
3,E05,19,3_23,DI72,TBSV_DI72,16.58,16.64,-0.06
3,E02,18,3_23,DI72,TBSV_DI72,16.615,13.055,3.56
3,C12,15,4_9,TBSV,TBSV_DI73,16.705,17.125,-0.42
3,E02,27,8_1,DI72,TBSV_DI73,16.76,16.665,0.095
2,E11,31,8_10,DI72,TBSV_DI72,16.78,13.99,2.79
3,G08,2,8_1,DI72,TBSV_DI73,16.85,17.68,-0.83
2,E10,41,8_1,TBSV,TBSV_DI72,16.865,16.635,0.23
