timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,dct_ratio,ddct_ratio
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6,-45.187,-2.65060241,41.87859129
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19,-68.965,-2.390410959,0.055448416
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-62.135,-2.139976275,22.15941512
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14,-41.647,-1.936962751,10.89095188
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-52.377,-1.903225806,-30.43404997
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-49.6765,-1.773529412,-224.780543
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-60.51,-1.743652744,12.89092458
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-50.047,-1.731343284,-123.2684729
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195,-43.592,-1.639,12.14600167
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-47.972,-1.626865672,51.36188437
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-51.242,-1.453333333,-49.46138996
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-47.487,-1.405228758,28.797453
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41,-47.377,-1.274566474,23.12201074
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875,-46.912,-1.194852941,17.57662046
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615,-48.172,-1.185245902,29.39109213
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-64.685,-1.112055641,11.18343707
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02,-67.135,-1.082089552,0.043777463
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-49.992,-0.983561644,120.7536232
3,A05,na,8_10,DI72,neg_ctrl,36.14,100,-63.86,-35.45074074,-0.919907808,-1.034895599
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-47.382,-0.886317907,13.31329025
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835,-68.32,-0.880070547,63.02583026
1,A05,na,8_1,DI72,neg_ctrl,37.155,100,-62.845,-34.43574074,-0.86136239,-0.911109819
1,A05,na,8_10,DI72,neg_ctrl,37.67,100,-62.33,-33.92074074,-0.849153639,-0.887097868
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99,-67.165,-0.832080201,0.028422542
2,A05,na,8_10,DI72,neg_ctrl,40.34,100,-59.66,-31.25074074,-0.812778856,-0.817271819
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43,-48.357,-0.788505747,16.45355563
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56,-59.595,-0.784602076,0.128517493
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-52.392,-0.75625,-23.69606513
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095,-46.692,-0.737871108,8.498725883
