timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,method
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,-8.427710843,agro
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-7.304109589,agro
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,-6.407572383,agro
3,E05,49,8_1,DI72,TBSV_DI73,26.37,12.62,13.75,-6.223127404,agro
3,G08,7,8_10,DI72,TBSV_DI73,28.99,1.81,27.18,-5.960526316,agro
1,G09,2,8_10,DI73,TBSV_DI73,18.265,17.475,0.79,-5.721518987,agro
3,A08,12,8_1,DI72,TBSV,30.94,17.41,13.53,-5.68487395,agro
2,A09,10,8_10,DI73,TBSV,34.115,18.91,15.205,-5.243103448,agro
3,A08,24,8_10,DI72,TBSV,17.025,11.34,5.685,-5.168181818,agro
2,C05,48,8_10,DI72,TBSV_DI73,27.155,15.98,11.175,-4.478957916,agro
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,-3.823708207,agro
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-3.628151261,agro
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-3.623063683,agro
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-3.376923077,agro
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-3.353179973,agro
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,-3.255033557,agro
3,C10,19,3_23,DI72,TBSV,31.385,18.755,12.63,-3,agro
1,A07,12,4_9,DI72,TBSV,31.105,18.095,13.01,-2.718913271,agro
3,G06,11,4_9,DI72,TBSV,23.865,17.265,6.6,-2.65060241,agro
2,C03,8,8_10,DI73,TBSV_DI73,19.285,17.095,2.19,-2.390410959,agro
1,C09,43,8_1,DI73,TBSV,26.925,17.905,9.02,-2.139976275,agro
2,C02,8,8_10,DI72,TBSV_DI73,29.11,18.97,10.14,-1.936962751,agro
1,E05,13,8_1,DI72,TBSV_DI72,16.265,16.855,-0.59,-1.903225806,agro
1,C02,18,8_1,DI72,TBSV,16.1005,13.99,2.1105,-1.773529412,agro
1,C06,26,8_1,DI73,TBSV,30.515,19.87,10.645,-1.743652744,agro
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-1.731343284,agro
2,C08,19,8_10,DI72,TBSV,29.4,21.205,8.195,-1.639,agro
2,G02,23,3_23,DI72,TBSV_DI72,19.485,15.67,3.815,-1.626865672,agro
1,C08,22,8_10,DI72,TBSV,17.21,16.665,0.545,-1.453333333,agro
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-1.405228758,agro
2,E08,44,8_10,DI72,TBSV_DI72,16.535,12.125,4.41,-1.274566474,agro
2,C02,24,8_1,DI72,TBSV_DI73,21.11,16.235,4.875,-1.194852941,agro
2,E05,49,8_10,DI72,TBSV_DI72,16.185,12.57,3.615,-1.185245902,agro
1,A09,38,8_10,DI73,TBSV_DI73,25.38,18.91,6.47,-1.112055641,agro
3,H03,25,8_10,DI73,TBSV_DI73,20.31,16.29,4.02,-1.082089552,agro
1,A08,51,8_1,DI72,TBSV,16.525,14.73,1.795,-0.983561644,agro
3,A05,na,8_10,DI72,neg_ctrl,36.14,100,-63.86,-0.919907808,agro
2,C07,17,4_9,DI72,TBSV,22.375,17.97,4.405,-0.886317907,agro
2,C06,48,8_10,DI73,TBSV_DI73,18.825,15.99,2.835,-0.880070547,agro
1,A05,na,8_1,DI72,neg_ctrl,37.155,100,-62.845,-0.86136239,agro
1,A05,na,8_10,DI72,neg_ctrl,37.67,100,-62.33,-0.849153639,agro
2,G03,25,8_10,DI73,TBSV_DI73,20.25,16.26,3.99,-0.832080201,agro
2,A05,na,8_10,DI72,neg_ctrl,40.34,100,-59.66,-0.812778856,agro
3,H02,25,8_10,DI72,TBSV_DI73,22.25,18.82,3.43,-0.788505747,agro
3,C03,32,8_10,DI73,TBSV,35.825,24.265,11.56,-0.784602076,agro
2,E02,11,3_23,DI72,TBSV_DI72,16.27,16.875,-0.605,-0.75625,agro
3,C11,1,8_10,DI72,TBSV_DI73,28.365,23.27,5.095,-0.737871108,agro
2,G02,25,8_10,DI72,TBSV_DI73,22.08,19.67,2.41,-0.725903614,agro
1,C08,43,8_1,DI72,TBSV,17.4,14.72,2.68,-0.635824437,agro
3,C08,33,8_10,DI72,TBSV_DI73,27.375,17.51,9.865,-0.621613106,agro
1,G03,30,8_1,DI73,TBSV_DI73,24.57666667,19.05666667,5.52,-0.606280193,agro
1,E03,28,3_23,DI73,TBSV_DI72,28.68,17.82,10.86,-0.597605893,agro
2,C11,17,8_1,DI72,TBSV_DI72,16.335,17.09,-0.755,-0.594488189,agro
2,A11,26,8_10,DI72,TBSV,15.535,17.29,-1.755,-0.589915966,agro
2,G06,21,3_23,DI72,TBSV_DI72,19.72,17.47,2.25,-0.588235294,agro
2,A10,2,3_23,DI72,TBSV,20.52,18.51,2.01,-0.552957359,agro
1,A12,14,8_1,DI73,TBSV,27.26,18.99,8.27,-0.538694075,agro
3,E06,15,8_10,DI73,TBSV_DI72,34.825,24.22,10.605,-0.495992456,agro
3,C07,20,3_23,DI72,TBSV,19.27,18.095,1.175,-0.480572597,agro
2,E03,39,8_10,DI73,TBSV_DI72,29.67,18.075,11.595,-0.460112117,agro
3,H09,16,8_10,DI73,TBSV_DI73,26.54,17.04,9.5,-0.444210526,agro
3,C09,13,8_10,DI73,TBSV,29.32,13.29,16.03,-0.442919526,agro
2,C06,34,8_1,DI73,TBSV_DI73,29.66,19.335,10.325,-0.442615012,agro
3,G09,7,8_10,DI73,TBSV_DI73,32.72,22.09,10.63,-0.4289746,agro
3,E11,18,8_10,DI72,TBSV_DI72,17.605,19.1005,-1.4955,-0.427896996,agro
2,G09,16,8_10,DI73,TBSV_DI73,26.62,16.65,9.97,-0.424272818,agro
2,C11,3,3_23,DI73,TBSV,32.125,17.56,14.565,-0.389289392,agro
