timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,dct_ratio,2pwrnegratio,log_2pwrnegratio
1,G03,23,4_9,DI73,TBSV_DI73,100,19.195,80.805,-15.13202247,35908.11928,4.555192659
1,A10,22,3_23,DI72,TBSV,23.895,15.085,8.81,-15.05982906,34155.47084,4.533460277
1,G02,23,4_9,DI72,TBSV_DI73,100,19.895,80.105,-15.00093633,32789.2738,4.515731798
1,G10,31,4_9,DI73,TBSV_DI73,100,17.165,82.835,-14.7524488,27601.30382,4.440929598
1,G09,31,4_9,DI72,TBSV_DI73,100,17.735,82.265,-14.650935,25725.91902,4.410370898
3,E05,42,8_1,DI72,TBSV_DI72,15.985,15.21,0.775,-14.09090909,17449.63321,4.241786303
3,E03,5,4_9,DI72,TBSV,31.93,18.66,13.27,-13.4040404,10839.72401,4.035018225
1,C08,15,3_23,DI73,TBSV,100,17.975,82.025,-13.27265372,9896.164192,3.995466892
1,C07,15,3_23,DI72,TBSV,100,20.68,79.32,-12.83495146,7306.432581,3.863705381
3,C09,31,8_1,DI73,TBSV,100,41.34,58.66,-12.64224138,6392.840479,3.805693868
3,A07,16,3_23,DI72,TBSV,30.605,15.97,14.635,-12.50854701,5827.03802,3.765447852
2,G09,37,8_1,DI73,TBSV_DI73,39,18.075,20.925,-12.16569767,4594.517586,3.662239918
1,A12,3,8_10,DI73,TBSV_DI73,26.5,14.46,12.04,-11.9800995,4039.887779,3.606369301
1,C11,31,3_23,DI73,TBSV,100,17.195,82.805,-11.28902522,2502.276017,3.398335213
1,C10,31,3_23,DI72,TBSV,100,18.01,81.99,-11.17791411,2316.794088,3.364887436
3,C12,1,8_10,DI73,TBSV_DI73,100,22.85,77.15,-11.173063,2309.016869,3.363427106
3,A04,32,4_9,DI72,TBSV_DI73,20.585,17.06,3.525,-11.015625,2070.301258,3.316033546
1,C03,18,8_1,DI73,TBSV,27.395,15.235,12.16,-10.21848739,1191.437366,3.076071216
2,E02,22,4_9,DI72,TBSV_DI73,30.995,15.57,15.425,-10.18151815,1161.294489,3.064942365
2,C12,52,8_10,DI73,TBSV_DI72,31.765,15.865,15.9,-10.12738854,1118.530232,3.048647727
1,C12,11,8_1,DI73,TBSV_DI72,28.95,16.94,12.01,-9.310077519,634.7644488,2.802612595
3,G02,50,8_1,DI72,TBSV_DI73,17.27,16.995,0.275,-9.166666667,574.7005687,2.759441627
1,E12,10,8_1,DI73,TBSV_DI72,31.33,18.7,12.63,-9.119133574,556.074193,2.74513274
3,E01,19,4_9,DI72,TBSV,21.55,16.32,5.23,-8.94017094,491.2014265,2.691259619
3,C11,3,8_1,DI72,TBSV_DI72,16.935,9.93,7.005,-8.439759036,347.232707,2.540620626
2,C10,29,4_9,DI72,TBSV,21.315,14.32,6.995,-8.427710843,344.3449821,2.536993759
3,G07,7,3_23,DI73,TBSV_DI72,30.075,16.71,13.365,-8.027027027,260.8410328,2.416375911
2,G03,20,8_1,DI73,TBSV_DI73,29.5,18.06,11.44,-7.916955017,241.6801237,2.383240935
1,A09,51,8_1,DI73,TBSV,29.425,16.095,13.33,-7.304109589,158.0360179,2.198756078
2,C06,36,8_1,DI73,TBSV,29.235,12.11,17.125,-6.637596899,99.56707886,1.998115766
1,C02,43,8_10,DI72,TBSV,32.475,18.09,14.385,-6.407572383,84.89292288,1.928871487
3,E05,49,8_1,DI72,TBSV_DI73,26.37,12.62,13.75,-6.223127404,74.7047154,1.873348016
2,E06,49,8_10,DI73,TBSV_DI72,37.185,18.43,18.755,-6.149180328,70.97211171,1.851087727
3,G08,7,8_10,DI72,TBSV_DI73,28.99,1.81,27.18,-5.960526316,62.27263044,1.794297211
3,A08,12,8_1,DI72,TBSV,30.94,17.41,13.53,-5.68487395,51.44196865,1.71131758
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-5.543859649,46.65176144,1.668868046
2,C08,12,3_23,DI73,TBSV,36.78,17.195,19.585,-5.300405954,39.40770844,1.595581181
2,A09,10,8_10,DI73,TBSV,34.115,18.91,15.205,-5.243103448,37.87314829,1.578331408
3,A08,24,8_10,DI72,TBSV,17.025,11.34,5.685,-5.168181818,35.9565281,1.55577775
3,C09,33,8_10,DI73,TBSV_DI73,100,21.71,78.29,-4.933207309,30.55226237,1.485043375
2,C06,42,8_10,DI73,TBSV,41.115,17.175,23.94,-4.841253792,28.66570373,1.457362608
2,G07,21,3_23,DI73,TBSV_DI72,34.28,17.015,17.265,-4.51372549,22.84371666,1.358766765
2,C05,48,8_10,DI72,TBSV_DI73,27.155,15.98,11.175,-4.478957916,22.29978531,1.348300682
2,C09,48,8_1,DI73,TBSV,29.62,18.095,11.525,-4.475728155,22.24991864,1.347328427
1,C11,27,4_9,DI73,TBSV,26.175,16.325,9.85,-4.339207048,20.24097735,1.306231479
2,C08,17,4_9,DI73,TBSV,39.765,18.555,21.21,-4.267605634,19.26093233,1.284677305
1,G04,18,4_9,DI73,TBSV_DI73,31.135,16.37,14.765,-4.261183261,19.17537998,1.282743979
3,H06,40,8_10,DI73,TBSV_DI73,32.89,18.44,14.45,-4.047619048,16.53692453,1.218454744
1,G09,16,8_1,DI73,TBSV_DI73,30.11,20.04,10.07,-3.941291585,15.36197269,1.186446989
2,G02,14,4_9,DI72,TBSV_DI73,29.59,17.01,12.58,-3.823708207,14.15959608,1.151050865
2,A07,25,4_9,DI72,TBSV,26.75,18.115,8.635,-3.628151261,12.36466511,1.092182358
2,A11,46,8_1,DI72,TBSV,25.21,14.685,10.525,-3.623063683,12.32113865,1.090650845
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-3.376923077,10.3885549,1.016555139
2,C07,12,3_23,DI72,TBSV,29.955,17.565,12.39,-3.353179973,10.21898479,1.009407753
2,E05,30,4_9,DI72,TBSV_DI73,19.9,15.05,4.85,-3.255033557,9.546908002,0.979862738
3,C10,19,3_23,DI72,TBSV,31.385,18.755,12.63,-3,8,0.903089987
