timepoint,well,plant,date,target,exp_group,target_ct,18S_ct,dct,ddct,2pwrneg_ddct,log_2pwrneg_ddct,method
1,A10,51,8_10,TBSV,TBSV,12.725,11.805,0.92,2.331,0.198746313,-0.70170092,agro
1,A07,5,8_10,TBSV,TBSV,13.11,12.33,0.78,2.191,0.218999579,-0.65955672,agro
1,C01,43,8_10,TBSV,TBSV,12.555,14.8,-2.245,-0.834,1.782620992,0.251059016,agro
1,C07,22,8_10,TBSV,TBSV,15.36,15.735,-0.375,1.036,0.487677731,-0.311867076,agro
1,E11,27,8_10,DI72,TBSV_DI72,17.64,12.835,4.805,-46.982,1.39E+14,14.14299126,agro
1,C11,12,8_10,DI72,TBSV_DI72,17.1005,15.125,1.9755,-49.8115,9.88E+14,14.99475563,agro
1,E02,47,8_10,DI72,TBSV_DI72,17.9,16.35,1.55,-50.237,1.33E+15,15.12284389,agro
1,E08,17,8_10,DI72,TBSV_DI72,17.565,18,-0.435,-52.222,5.25E+15,15.72038843,agro
1,E05,54,8_10,DI72,TBSV_DI72,100,19.11,80.89,29.103,1.73E-09,-8.760875964,agro
1,E12,27,8_10,DI73,TBSV_DI72,100,10.9,89.1,17.945,3.96E-06,-5.401983272,agro
1,C12,12,8_10,DI73,TBSV_DI72,28.115,14.01,14.105,-57.05,1.49E+17,17.17376125,agro
1,E03,47,8_10,DI73,TBSV_DI72,31.035,14.92,16.115,-55.04,3.70E+16,16.56869096,agro
1,E06,54,8_10,DI73,TBSV_DI72,100,16.32,83.68,12.525,0.000169668,-3.770400696,agro
1,E09,17,8_10,DI73,TBSV_DI72,27.425,16.365,11.06,-60.095,1.23E+18,18.09039759,agro
1,E10,27,8_10,TBSV,TBSV_DI72,21.61,10.54,11.07,12.481,0.000174922,-3.757155376,agro
1,C10,12,8_10,TBSV,TBSV_DI72,13.4,13.985,-0.585,0.826,0.564091069,-0.248650776,agro
1,E01,47,8_10,TBSV,TBSV_DI72,17.075,14.365,2.71,4.121,0.057471878,-1.240544612,agro
1,E07,17,8_10,TBSV,TBSV_DI72,13.11,15.105,-1.995,-0.584,1.498999602,0.175801517,agro
1,E04,54,8_10,TBSV,TBSV_DI72,13.095,15.53,-2.435,-1.024,2.033549347,0.308254716,agro
1,A11,3,8_10,DI72,TBSV_DI73,17.5,15.76,1.74,-50.047,1.16E+15,15.06564819,agro
1,G02,41,8_10,DI72,TBSV_DI73,100,18.28,81.72,29.933,9.76E-10,-9.01073086,agro
1,G05,14,8_10,DI72,TBSV_DI73,22.875,18.575,4.3,-47.487,1.97E+14,14.2950114,agro
1,A08,38,8_10,DI72,TBSV_DI73,17.205,19.01,-1.805,-53.592,1.36E+16,16.13279953,agro
